Year,NO,CO2
1990,66.70938,5146.533516
1991,66.84122,5325.592335
1992,69.0683,5755.69661
1993,65.50494,5732.588876
1994,63.83767,5985.101213
1995,61.02471,6280.181106
1996,65.40224,7332.52592
1997,58.33609,7712.809803
1998,59.60368,9060.739689
1999,58.48108,9754.960534
2000,55.62264,10796.66955
2001,56.69056,11320.32891
2002,51.90591,11514.7884
2003,53.28055,11715.78279
2004,55.72431,12435.22466
2005,58.25763,13143.43447
2006,58.78009,13822.25765
2007,56.53729,14406.20568
2008,54.75094,13673.98103
2009,47.97053,12451.43621
2010,32.1923,11534.97804
2011,30.29775,11222.73052
2012,28.75078,10836.23304
2013,28.65225,11067.61433
2014,29.82824,11348.67799
2015,29.20424,11814.05145
2016,31.66465,12295.5925
2017,32.99116,12004.97629
2018,0,12203.0952
2019,0,0
2020,0,0
