Manufacturer,VehicleType,Year,Count
HIGER,BusesCoaches,2020,10
HIGER,BusesCoaches,2019,14
HIGER,BusesCoaches,2018,14
HIGER,BusesCoaches,2017,8
HIGER,BusesCoaches,2016,2
VDL-DAF,BusesCoaches,2019,2
VDL-DAF,BusesCoaches,2018,17
VDL-DAF,BusesCoaches,2017,46
VDL-DAF,BusesCoaches,2016,15
VDL-DAF,BusesCoaches,2014,6
VDL-DAF,BusesCoaches,2013,7
VDL-DAF,BusesCoaches,2012,12
VDL-DAF,BusesCoaches,2011,4
VDL-DAF,BusesCoaches,2009,3
IVECO,BusesCoaches,2020,13
IVECO,BusesCoaches,2019,41
IVECO,BusesCoaches,2018,49
IVECO,BusesCoaches,2017,34
IVECO,BusesCoaches,2016,18
IVECO,BusesCoaches,2015,3
MAN,BusesCoaches,2019,2
MAN,BusesCoaches,2018,7
MAN,BusesCoaches,2017,11
MAN,BusesCoaches,2016,45
MAN,BusesCoaches,2015,10
MAN,BusesCoaches,2014,2
MAN,BusesCoaches,2013,1
MAN,BusesCoaches,2010,3
MERCEDES-BENZ,BusesCoaches,2020,16
MERCEDES-BENZ,BusesCoaches,2019,31
MERCEDES-BENZ,BusesCoaches,2018,26
MERCEDES-BENZ,BusesCoaches,2017,25
MERCEDES-BENZ,BusesCoaches,2016,48
MERCEDES-BENZ,BusesCoaches,2015,19
MERCEDES-BENZ,BusesCoaches,2014,12
MERCEDES-BENZ,BusesCoaches,2013,6
MERCEDES-BENZ,BusesCoaches,2012,13
MERCEDES-BENZ,BusesCoaches,2011,1
MERCEDES-BENZ,BusesCoaches,2010,12
MERCEDES-BENZ,BusesCoaches,2009,39
OTOKAR,BusesCoaches,2016,4
SCANIA,BusesCoaches,2020,4
SCANIA,BusesCoaches,2019,12
SCANIA,BusesCoaches,2018,14
SCANIA,BusesCoaches,2017,11
SCANIA,BusesCoaches,2016,43
SCANIA,BusesCoaches,2014,16
SCANIA,BusesCoaches,2013,11
SCANIA,BusesCoaches,2012,49
SCANIA,BusesCoaches,2011,3
SCANIA,BusesCoaches,2010,2
SCANIA,BusesCoaches,2009,29
VOLVO,BusesCoaches,2020,34
VOLVO,BusesCoaches,2019,169
VOLVO,BusesCoaches,2018,214
VOLVO,BusesCoaches,2017,161
VOLVO,BusesCoaches,2016,10
VOLVO,BusesCoaches,2015,62
VOLVO,BusesCoaches,2014,18
VOLVO,BusesCoaches,2009,9
WRIGHTBUS,BusesCoaches,2020,2
WRIGHTBUS,BusesCoaches,2019,36
WRIGHTBUS,BusesCoaches,2018,57
WRIGHTBUS,BusesCoaches,2017,2
WRIGHTBUS,BusesCoaches,2016,1
YUTONG,BusesCoaches,2020,1
YUTONG,BusesCoaches,2019,73
YUTONG,BusesCoaches,2017,1
YUTONG,BusesCoaches,2016,1
PRIVATE IMPORT,BusesCoaches,2020,31
PRIVATE IMPORT,BusesCoaches,2018,48
PRIVATE IMPORT,BusesCoaches,2017,40
PRIVATE IMPORT,BusesCoaches,2016,175
PRIVATE IMPORT,BusesCoaches,2015,12
PRIVATE IMPORT,BusesCoaches,2014,153
PRIVATE IMPORT,BusesCoaches,2013,138
PRIVATE IMPORT,BusesCoaches,2012,162
PRIVATE IMPORT,BusesCoaches,2011,51
PRIVATE IMPORT,BusesCoaches,2009,83
OTHER,BusesCoaches,2015,9
OTHER,BusesCoaches,2010,30
DAF,BusesCoaches,2020,7
DAF,BusesCoaches,2019,1
DAF,BusesCoaches,2011,1
ISUZU,BusesCoaches,2020,7
ISUZU,BusesCoaches,2019,2
SUNSUNDEGUI,BusesCoaches,2019,62
AVIA,HeavyCommercial,2013,2
AVIA,HeavyCommercial,2012,8
